Permalink,title,description,visual_first_3_seconds,background_music_type_first_3_seconds,published_time_ist,seven_day_views,year,quarter,target,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,Secondary_Category_1_new,Secondary_Category_2_new,time_distribution,date
https://www.facebook.com/1954072204870360/posts/2465564043721171/,nobel laureates from india,"भारत के किन-किन लोगों को अभी तक मिल चुका है नोबेल पुरस्कार?

nobel prize",other,relevant,2019-10-16 20:35:00,14961,2019,4,high,global news,rare,informative,text only(to),object,neutral,rare,no_secondary_category,6 PM - 9 PM,2019-10-16
https://www.facebook.com/1954072204870360/posts/2467224790221763/,bird lover who turned his house into an aviary,पक्षियों के लिए पक्षी प्रेमी ने घर को बना दिया संग्राहालय,commoner (np),relevant,2019-10-20 18:05:00,5763,2019,4,average,rare,emotions,rare,text only(to),commoner,happy,rare,person specific,6 PM - 9 PM,2019-10-20
https://www.facebook.com/1954072204870360/posts/2464329180511324/,irctc makes it big on stock market,कैसे irctc के साथ लोगों के एक दिन में पैसे हुए दोगुना?,other,relevant,2019-10-15 12:05:00,3131,2019,4,low,rare,informative,rare,text only(to),object,neutral,rare,no_secondary_category,12 PM - 03 PM,2019-10-15
https://www.facebook.com/1954072204870360/posts/2463557500588492/,railway sells off scrap worth rs 35 crore,"कबाड़ से रेलवे ने की कमाई, 10 साल में कमाए ₹35 हजार करोड़

ministry of railways, government of india",other,neutral,2019-10-14 20:35:01,6835,2019,4,average,government,emotions,informative,text only(to),object,neutral,rare,other,6 PM - 9 PM,2019-10-14
https://www.facebook.com/1954072204870360/posts/2463569833920592/,2-year-old toddler singing lata mangeshkar's song,"इस छोटी बच्ची के गाने ने इंटरनेट पर मचाया धमाल, लाखों लोगों ने की बच्ची की तारीफ",commoner (np),relevant,2019-10-19 12:05:00,26086,2019,4,high,entertainment,emotions,rare,commoner voice(optv),commoner,happy,rare,no_secondary_category,12 PM - 03 PM,2019-10-19
https://www.facebook.com/1954072204870360/posts/2468157290128513/,'multan's sultan' virender sehwag turns 41,"जिन्होंने क्रिकेट में बदल कर रख दी ओपनिंग की परिभाषा, वीरेन्द्र सहवाग का आज है जन्मदिन",famous personality (fp),relevant,2019-10-20 10:00:02,18765,2019,4,high,sports & games,day-specific,profile,voice of famous personality(fpv),famous personality,rare,cricket,famous personality,9 AM - 12 PM,2019-10-20
https://www.facebook.com/1954072204870360/posts/2468157290128513/,'multan's sultan' virender sehwag turns 41,"जिन्होंने क्रिकेट में बदल कर रख दी ओपनिंग की परिभाषा, वीरेन्द्र सहवाग का आज है जन्मदिन",famous personality (fp),relevant,2020-10-20 11:00:31,71541,2020,4,average,sports & games,day-specific,profile,voice of famous personality(fpv),famous personality,rare,cricket,famous personality,9 AM - 12 PM,2020-10-20
https://www.facebook.com/1954072204870360/posts/2465305670413675/,team india's 'jumbo' anil kumble turns 49,"देश के इतिहास के सबसे सफल गेंदबाज जिन्होंने देश के लिए 18 सालों तक खेला क्रिकेट अनिल कुंबले का आज है जन्मदिन

anil kumble",famous personality (fp),loud,2019-10-17 10:00:00,22994,2019,4,high,sports & games,day-specific,profile,text only(to),famous personality,rare,cricket,famous personality,9 AM - 12 PM,2019-10-17
https://www.facebook.com/1954072204870360/posts/2471359793141596/,india's first differently-abled bhangra group,क्या चीज इस भांगड़ा ग्रुप को बनाती है देश का सबसे अनोखा भांगड़ा ग्रुप?,crowd,relevant,2019-10-27 20:35:00,5149,2019,4,average,rare,emotions,inspiring,text only(to),crowd,happy,rare,person specific,6 PM - 9 PM,2019-10-27
https://www.facebook.com/1954072204870360/posts/2467099310234311/,story of indra nooyi - the most powerful women in the world,"दुनिया की सबसे प्रभावशाली महिलाओं में से एक, इंदिरा नूई

indra nooyi",famous personality (fp),relevant,2019-10-28 10:00:01,9215,2019,4,high,rare,profile,inspiring,text only(to),famous personality,happy,rare,no_secondary_category,9 AM - 12 PM,2019-10-28
